line_of_business,treaty_type,claim_count,total_claim_amount,total_reserve_amount,total_ceded_loss,avg_reinsurance_recovery_ratio,retention_breach_count,high_reinsurance_impact_count,ceded_loss_ratio
Casualty Treaty Reinsurance,Catastrophe XOL,28,18031946.21,18757971.35,8085834.62,0.3831363764253063,21,10,0.4484171883518501
Casualty Treaty Reinsurance,Excess of Loss,26,16847803.05,17857332.59,7580765.85,0.3656199073346316,18,10,0.449955749571752
Casualty Treaty Reinsurance,Quota Share,21,11083985.3,11567639.3,4206206.72,0.2826075468814586,10,7,0.37948505038165287
Casualty Treaty Reinsurance,,20,10998419.709999999,11380468.879999999,5045580.4799999995,0.3287989568382191,12,6,0.45875504054572946
Commercial Property,Catastrophe XOL,25,16886069.52,17179136.58,6939411.57,0.3591973808567945,15,11,0.41095481466429495
Commercial Property,Excess of Loss,29,21026204.61,22576958.87,11091336.75,0.4263970151915856,19,14,0.5275006571906464
Commercial Property,Quota Share,21,10228323.55,10511686.24,4716378.12,0.32260247315421353,11,8,0.4611095940546386
Commercial Property,,16,7972600.58,8650890.9,3237109.39,0.3034198964868151,9,5,0.4060292946470423
Cyber,Catastrophe XOL,30,15452660.299999999,16101467.58,8703567.19,0.41939568909896346,20,15,0.5632406990788505
Cyber,Excess of Loss,28,12876996.57,14557281.6,3739408.97,0.24657684215243678,15,7,0.29039449918871885
Cyber,Quota Share,23,11758198.37,13171300.61,4835583.05,0.3338132178537882,14,9,0.41125203860631926
Cyber,,12,7138435.71,7634424.359999999,4272017.61,0.43889396593480295,9,6,0.5984529081091914
General Liability,Catastrophe XOL,35,16873193.07,18783970.82,7373771.63,0.30890997716477,18,14,0.4370110387174038
General Liability,Excess of Loss,18,9368125.49,9275367.48,4669627.16,0.3764552558392881,9,8,0.49845907433505143
General Liability,Quota Share,23,14842085.76,14918436.690000001,7173005.0200000005,0.35500805433687255,14,8,0.4832882073307735
General Liability,,20,11627254.07,12379569.29,5071297.24,0.2904289409673229,11,7,0.4361560527936412
Marine & Energy,Catastrophe XOL,35,18567082.39,19862338.1,8729002.49,0.3237224082110937,19,13,0.4701332340024156
Marine & Energy,Excess of Loss,16,7061177.68,7707991.9399999995,3323420.8099999996,0.31507177339793724,9,4,0.4706609804499353
Marine & Energy,Quota Share,25,17245956.38,18609378.36,9511158.42,0.4474739902795177,16,15,0.551500781425495
Marine & Energy,,27,13968980.51,15674721.32,5276976.88,0.2873173118090203,16,7,0.37776392315977253
Professional Liability,Catastrophe XOL,21,11502884.76,12369040.9,4242695.1,0.20792640164523948,7,5,0.36883748629330787
Professional Liability,Excess of Loss,19,10820471.8,12846066.37,3834406.3,0.23914292211653007,9,5,0.35436590666961487
Professional Liability,Quota Share,19,13464341.05,14973498.77,6406214.29,0.3554929677875707,10,9,0.47579114835330166
Professional Liability,,25,13986546.47,15121141.95,5646370.27,0.32358742906966775,14,9,0.40370010439038706
Property Catastrophe Reinsurance,Catastrophe XOL,29,20620880.44,22433040.05,12245225.82,0.44704596524284484,20,16,0.5938265272246542
Property Catastrophe Reinsurance,Excess of Loss,23,15137035.51,16276525.030000001,8494915.68,0.39722105095276034,15,10,0.5612007499346878
Property Catastrophe Reinsurance,Quota Share,29,20297885.86,21990417.02,9552852.17,0.3565617467328941,18,12,0.4706328647174687
Property Catastrophe Reinsurance,,19,11585963.69,12330567.709999999,4222973.96,0.2539583986323697,10,5,0.36449052258336573
Workers Compensation,Catastrophe XOL,19,10091546.64,10537014.76,4714060.26,0.4078439007124218,14,7,0.4671296113635164
Workers Compensation,Excess of Loss,24,16035199.31,17202131.42,7886322.54,0.3981459334689182,15,11,0.4918131909393772
Workers Compensation,Quota Share,23,15321449.59,16374000.29,7327914.3,0.4327605754400459,18,11,0.4782781326894017
Workers Compensation,,23,11718249.25,12225644.620000001,4602851.12,0.2880469878437512,10,7,0.3927934132310763
